gemeente_code,year,gemeente_name,province,area_km2,centroid_lat,centroid_lon,population,population_density_km2,accident_count,fatal_count,serious_injury_count,weather_mean_temp_mean_c,weather_mean_temp_min_c,weather_mean_temp_max_c,weather_mean_humidity_pct,weather_mean_pressure_hpa,weather_annual_precip_mm,weather_annual_sunshine_hours,km_cycleway,km_track,km_lane,km_total,bicycle_parking_count
GM0096,2023,Vlieland,,42.95,53.258558,4.974548,1255,30.0,1,0,0,11.64,8.97,14.22,80.88,1013.13,0.0,0.0,22.494,0.305,0.0,22.799,36
GM0096,2024,Vlieland,,42.95,53.258558,4.974548,1255,30.0,2,0,0,11.84,9.11,14.47,81.52,1013.61,0.0,0.0,22.494,0.305,0.0,22.799,36
GM0098,2015,Weststellingwerf,Fryslân,228.59,52.875752,6.017665,26487,120.0,0,0,0,,,,,,,,88.124,0.0,0.247,88.371,12
GM0098,2016,Weststellingwerf,Fryslân,228.59,52.875752,6.017665,26487,120.0,0,0,0,,,,,,,,88.124,0.0,0.247,88.371,12
GM0098,2017,Weststellingwerf,Fryslân,228.59,52.875752,6.017665,26487,120.0,0,0,0,,,,,,,,88.124,0.0,0.247,88.371,12
GM0098,2018,Weststellingwerf,Fryslân,228.59,52.875752,6.017665,26487,120.0,0,0,0,,,,,,,,88.124,0.0,0.247,88.371,12
GM0098,2019,Weststellingwerf,Fryslân,228.59,52.875752,6.017665,26487,120.0,0,0,0,,,,,,,,88.124,0.0,0.247,88.371,12
GM0098,2020,Weststellingwerf,Fryslân,228.59,52.875752,6.017665,26487,120.0,0,0,0,,,,,,,,88.124,0.0,0.247,88.371,12
GM0098,2021,Weststellingwerf,Fryslân,228.59,52.875752,6.017665,26487,120.0,0,0,0,,,,,,,,88.124,0.0,0.247,88.371,12
GM0098,2022,Weststellingwerf,Fryslân,228.59,52.875752,6.017665,26487,120.0,8,0,0,,,,,,,,88.124,0.0,0.247,88.371,12
GM0098,2023,Weststellingwerf,Fryslân,228.59,52.875752,6.017665,26487,120.0,10,0,0,,,,,,,,88.124,0.0,0.247,88.371,12
GM0098,2024,Weststellingwerf,Fryslân,228.59,52.875752,6.017665,26487,120.0,18,0,0,,,,,,,,88.124,0.0,0.247,88.371,12
